,author,title,library_type,day,month,year,challenge_date,state
0,"Allison, John",Giant Days : Volume 1,School,1,9,2022,2022-09-01,MO
1,"Allison, John",Giant Days: Not On the Test Edition Volume 1 - Fall Semester,School,1,9,2022,2022-09-01,MO
2,"Allison, John",Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,School,1,9,2022,2022-09-01,MO
4,"Barnes, Derrick",The Slumber Party Payback,School,1,9,2021,2021-09-01,PA
6,"Brown, Monica",Lola Levine: Drama Queen,School,1,9,2021,2021-09-01,PA
7,"Brown, Monica",Lola Levine and the Ballet Scheme,School,1,9,2021,2021-09-01,PA
8,"Sotamayor, Sonia","¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",School,1,9,2021,2021-09-01,PA
9,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,School,1,11,2021,2021-11-01,FL
10,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,School,1,12,2021,2021-12-01,TX
11,"McNeil, Gretchen",#MurderTrending,School,1,7,2022,2022-07-01,FL
12,"McNeil, Gretchen",#MurderTrending,School,1,2,2022,2022-02-01,VA
14,"McNeil, Gretchen",#MurderTrending,School,1,1,2022,2022-01-01,GA
15,"Mac, Carrie",10 Things I Can See from Here,School,1,2,2022,2022-02-01,TX
16,"Mac, Carrie",10 Things I Can See from Here,School,1,12,2021,2021-12-01,TX
17,"Mac, Carrie",10 Things I Can See from Here,School,1,2,2022,2022-02-01,TN
18,"Ewert, Marcus","10,000 Dresses",School,1,7,2022,2022-07-01,FL
19,"Ewert, Marcus","10,000 Dresses",School,1,7,2022,2022-07-01,FL
20,"Ewert, Marcus","10,000 Dresses",School,1,1,2023,2023-01-01,FL
21,"Ewert, Marcus","10,000 Dresses",School,1,3,2023,2023-03-01,OH
22,"Ewert, Marcus","10,000 Dresses",Public,1,12,2022,2022-12-01,NE
24,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2023,2023-04-01,OR
25,"Maas, Sarah J.",A Court of Mist and Fury,School,1,1,2023,2023-01-01,PA
26,"Maas, Sarah J.",A Court of Mist and Fury,School,1,3,2023,2023-03-01,CO
27,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2023,2023-02-01,FL
28,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2023,2023-02-01,PA
29,"Maas, Sarah J.",A Court of Mist and Fury,School,1,9,2023,2023-09-01,TX
30,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2023,2023-04-01,KN
31,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2023,2023-04-01,NC
32,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2022,2022-02-01,AR
33,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2021,2021-11-01,FL
34,"Maas, Sarah J.",A Court of Mist and Fury,School,1,3,2022,2022-03-01,NC
35,"Ewert, Marcus","10,000 Dresses",School,1,1,2022,2022-01-01,FL
36,"Henderson, Elizabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",School,1,1,2022,2022-01-01,TX
38,"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",School,1,9,2022,2022-09-01,MO
39,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,School,1,12,2021,2021-12-01,TX
40,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,School,1,12,2021,2021-12-01,TX
41,"Brynie, Faith Hickman","101 Questions About Sex & Sexuality: With Answers For The Curious, Cautious, and Confused",School,1,1,2022,2022-01-01,TX
42,"King, Stephen",11/22/63,School,1,1,2023,2023-01-01,VA
43,"Deedy, Carmen Agra",14 Cows for America,School,1,1,2022,2022-01-01,FL
44,"Levithan, David",19 Love Songs,School,1,1,2022,2022-01-01,TX
45,"Levithan, David",19 Love Songs,School,1,2,2022,2022-02-01,TN
46,"Orwell, George",1984 The Graphic Novel,School,1,11,2022,2022-11-01,MO
47,"Orwell, George",1984 The Graphic Novel,School,1,9,2022,2022-09-01,MO
48,"Orwell, George",1984 The Graphic Novel,School,1,2,2023,2023-02-01,PA
49,"Orwell, George",1984 The Graphic Novel,School,1,2,2023,2023-02-01,PA
50,"Bradley, Alex",24 Girls in 7 Days,School,1,12,2021,2021-12-01,TX
51,"Lassieur, Allison",25 Women Who Dared to Go,School,1,9,2021,2021-09-01,PA
52,"Sherman, Jill",25 Women Who Fought Back,School,1,9,2021,2021-09-01,PA
53,"Stanborough, Rebecca J",25 Women Who Ruled,School,1,9,2021,2021-09-01,PA
54,"Sherman, Jill",25 Women Who Thought of It First,School,1,9,2021,2021-09-01,PA
55,"Rapp, Adam",33 Snowfish,School,1,1,2023,2023-01-01,FL
56,"Rapp, Adam",33 Snowfish,School,1,5,2022,2022-05-01,MI
57,"Rapp, Adam",33 Snowfish,School,1,2,2021,2021-02-01,UT
58,"Rapp, Adam",33 Snowfish,School,1,5,2022,2022-05-01,ID
59,"Rapp, Adam",33 Snowfish,School,1,11,2021,2021-11-01,VA
61,"Mosley, Walter",47,School,1,11,2021,2021-11-01,TX
62,"Adeyoha, Koja and Adeyoha, Angel","47,000 Beads",School,1,9,2021,2021-09-01,PA
63,"Köster, Thomas and Röper, Lars",50 Artists You Should Know,School,1,9,2022,2022-09-01,MO
64,"Lowis, Kristina and Pickeral, Tamsin",50 Paintings You Should Know,School,1,9,2022,2022-09-01,MO
65,"Kühl, Isabel",50 Sculptures You Should Know,School,1,9,2022,2022-09-01,MO
66,"Weidemann, Christiane, Klier, Melanie, and Larass, Petra",50 Women Artists You Should Know,School,1,9,2022,2022-09-01,MO
67,San Francisco Writers Grotto,642 Things to Write About,School,1,9,2022,2022-09-01,OH
68,"Trueman, Terry",7 Days at the Hot Corner,School,1,1,2022,2022-01-01,TX
69,"Trueman, Terry",7 Days at the Hot Corner,School,1,2,2022,2022-02-01,TX
70,"Trueman, Terry",7 Days at the Hot Corner,School,1,12,2021,2021-12-01,TX
72,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,School,1,7,2022,2022-07-01,FL
73,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,School,1,12,2022,2022-12-01,FL
74,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,School,1,1,2023,2023-01-01,FL
75,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,School,1,2,2023,2023-02-01,PA
76,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,School,1,1,2022,2022-01-01,FL
77,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,School,1,11,2021,2021-11-01,FL
78,"Devore, Laurie",A Better Bad Idea,School,1,2,2022,2022-02-01,TN
79,"Lin, Grace",A Big Mooncake for Little Star,School,1,9,2021,2021-09-01,PA
80,"Boelts, Maribeth",A Bike Like Sergio's,School,1,7,2022,2022-07-01,VA
81,"Boelts, Maribeth",A Bike Like Sergio's,School,1,9,2021,2021-09-01,PA
82,"Boelts, Maribeth",A Bike Like Sergio's,School,1,7,2022,2022-07-01,VA
83,"Arnold, Elana K.",A Boy Called Bat,School,1,7,2022,2022-07-01,VA
84,"Arnold, Elana K.",A Boy Called Bat,School,1,9,2021,2021-09-01,PA
85,"Arnold, Elana K.",A Boy Called Bat,School,1,9,2021,2021-09-01,PA
86,"Arnold, Elana K.",A Boy Called Bat,School,1,7,2022,2022-07-01,VA
87,"McCarthy, Helen",A Brief History of Manga,School,1,9,2022,2022-09-01,MO
88,"Crichton, Michael",A Case of Need,School,1,2,2022,2022-02-01,TX
89,"Whitcomb, Laura",A Certain Slant of Light,School,1,7,2022,2022-07-01,FL
90,"Whitcomb, Laura",A Certain Slant of Light,School,1,1,2023,2023-01-01,FL
91,"Whitcomb, Laura",A Certain Slant of Light,School,1,11,2021,2021-11-01,FL
92,"Pelzer, Dave","A Child Called ""It""",School,1,1,2023,2023-01-01,FL
93,"Martin, George R.R.",A Clash of Kings,School,1,2,2023,2023-02-01,PA
94,"Hutchinson, Shaun David",A Complicated Love Story Set in Space,School,1,10,2022,2022-10-01,NC
95,"Hutchinson, Shaun David",A Complicated Love Story Set in Space,School,1,2,2022,2022-02-01,TX
96,"Hutchinson, Shaun David",A Complicated Love Story Set in Space,School,1,2,2022,2022-02-01,TN
97,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,11,2022,2022-11-01,UT
98,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,11,2022,2022-11-01,MD
99,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,9,2022,2022-09-01,MO
100,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,11,2022,2022-11-01,UT
101,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,9,2022,2022-09-01,ND
102,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,1,2023,2023-01-01,FL
103,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,1,2023,2023-01-01,FL
104,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,12,2022,2022-12-01,SC
105,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,10,2022,2022-10-01,SC
106,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,9,2022,2022-09-01,FL
107,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,9,2022,2022-09-01,TX
108,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,2,2023,2023-02-01,PA
109,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,4,2023,2023-04-01,NC
110,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,11,2021,2021-11-01,FL
111,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,10,2021,2021-10-01,OK
112,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,3,2022,2022-03-01,TX
113,"Maas, Sarah J.",A Court of Frost and Starlight,School,1,4,2022,2022-04-01,FL
115,"Maas, Sarah J.",A Court of Mist and Fury,School,1,7,2022,2022-07-01,FL
116,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2022,2022-11-01,UT
117,"Maas, Sarah J.",A Court of Mist and Fury,School,1,10,2022,2022-10-01,FL
118,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2022,2022-11-01,FL
119,"Maas, Sarah J.",A Court of Mist and Fury,School,1,10,2022,2022-10-01,FL
121,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2022,2022-11-01,MD
122,"Maas, Sarah J.",A Court of Mist and Fury,School,1,9,2022,2022-09-01,MO
123,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2022,2022-11-01,UT
124,"Maas, Sarah J.",A Court of Mist and Fury,School,1,9,2022,2022-09-01,ND
125,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2022,2022-11-01,TX
126,"Maas, Sarah J.",A Court of Mist and Fury,School,1,1,2023,2023-01-01,FL
127,"Maas, Sarah J.",A Court of Mist and Fury,School,1,1,2023,2023-01-01,MI
128,"Maas, Sarah J.",A Court of Mist and Fury,School,1,12,2022,2022-12-01,SC
129,"Maas, Sarah J.",A Court of Mist and Fury,School,1,10,2022,2022-10-01,SC
130,"Maas, Sarah J.",A Court of Mist and Fury,School,1,9,2022,2022-09-01,FL
131,"Maas, Sarah J.",A Court of Mist and Fury,School,1,8,2022,2022-08-01,VA
132,"Maas, Sarah J.",A Court of Mist and Fury,School,1,12,2022,2022-12-01,CO
133,"Maas, Sarah J.",A Court of Mist and Fury,Public,1,8,2022,2022-08-01,CO
134,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2021,2021-11-01,GA
135,"Maas, Sarah J.",A Court of Mist and Fury,School,1,3,2022,2022-03-01,TX
136,"Maas, Sarah J.",A Court of Mist and Fury,School,1,7,2022,2022-07-01,VA
137,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2021,2021-11-01,FL
138,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2022,2022-04-01,FL
139,"Maas, Sarah J.",A Court of Mist and Fury,School,1,1,2022,2022-01-01,TX
140,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2021,2021-11-01,TX
141,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2021,2021-02-01,UT
142,"Maas, Sarah J.",A Court of Mist and Fury,School,1,5,2022,2022-05-01,ID
143,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2022,2022-04-01,FL
144,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2022,2022-04-01,FL
145,"Maas, Sarah J.",A Court of Mist and Fury,School,1,3,2022,2022-03-01,TN
146,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,11,2021,2021-11-01,FL
147,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,3,2022,2022-03-01,TX
148,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,4,2022,2022-04-01,FL
149,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,1,2023,2023-01-01,FL
150,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,11,2022,2022-11-01,UT
151,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,1,2023,2023-01-01,FL
152,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,11,2022,2022-11-01,MD
153,"Maas, Sarah J.",A Court of Silver Flames,School,1,9,2022,2022-09-01,MO
154,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,11,2022,2022-11-01,UT
155,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,1,2023,2023-01-01,FL
156,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,1,2023,2023-01-01,FL
157,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,4,2023,2023-04-01,OR
158,"Maas, Sarah J.",A ​Court of Silver Flames,School,1,9,2022,2022-09-01,TX
159,"Maas, Sarah J.",A Court of Silver Flames,School,1,4,2023,2023-04-01,KN
160,"Maas, Sarah J.",A Court of Silver Flames,School,1,11,2021,2021-11-01,FL
161,"Maas, Sarah J.",A Court of Silver Flames,School,1,7,2021,2021-07-01,IN
162,"Maas, Sarah J.",A Court of Silver Flames,School,1,3,2022,2022-03-01,TX
163,"Maas, Sarah J.",A Court of Silver Flames,School,1,3,2022,2022-03-01,TX
164,"Maas, Sarah J.",A Court of Silver Flames,School,1,4,2022,2022-04-01,FL
165,"Maas, Sarah J.",A Court of Silver Flames,School,1,4,2022,2022-04-01,FL
166,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,11,2022,2022-11-01,UT
167,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,11,2022,2022-11-01,MD
168,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,9,2022,2022-09-01,MO
169,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,11,2022,2022-11-01,UT
170,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,9,2022,2022-09-01,ND
171,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,11,2022,2022-11-01,TX
172,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,1,2023,2023-01-01,FL
173,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,1,2023,2023-01-01,FL
175,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,1,2023,2023-01-01,FL
176,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,12,2022,2022-12-01,SC
177,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,10,2022,2022-10-01,SC
178,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,7,2022,2022-07-01,VA
179,"Maas, Sarah J.",A Court of Thorns and Roses,Public,1,8,2022,2022-08-01,CO
181,"Maas, Sarah J.",A Court of Thorns and Roses,Public,1,9,2022,2022-09-01,LA
182,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,4,2023,2023-04-01,OR
183,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,2,2023,2023-02-01,FL
184,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,2,2023,2023-02-01,PA
185,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,9,2022,2022-09-01,TX
186,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,11,2021,2021-11-01,FL
187,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,3,2022,2022-03-01,NC
188,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,3,2022,2022-03-01,TX
189,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,7,2022,2022-07-01,VA
190,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,10,2021,2021-10-01,TX
191,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,4,2022,2022-04-01,TX
192,"Maas, Sarah J.",A Court of Thorns and Roses,School,1,4,2022,2022-04-01,FL
193,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,11,2022,2022-11-01,UT
194,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,11,2022,2022-11-01,MD
195,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,9,2022,2022-09-01,MO
196,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,11,2022,2022-11-01,UT
197,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,9,2022,2022-09-01,ND
198,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,11,2022,2022-11-01,TX
199,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,1,2023,2023-01-01,FL
200,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,1,2023,2023-01-01,FL
201,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,1,2023,2023-01-01,FL
202,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,12,2022,2022-12-01,SC
203,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,10,2022,2022-10-01,SC
204,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,9,2022,2022-09-01,FL
206,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,4,2023,2023-04-01,OR
207,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,2,2023,2023-02-01,FL
208,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,2,2023,2023-02-01,PA
209,"Maas, Sarah J.",A Court of Wings and Ruin,School,1,9,2022,2022-09-01,TX
210,"Pinguicha, Diana",A Curse of Roses,School,1,2,2022,2022-02-01,TN
211,"Rudahl, Sharon",A Dangerous Woman: The Graphic Biography of Emma Goldman,School,1,9,2022,2022-09-01,MO
212,"Twiss, Jill",A Day in the Life of Marlon Bundo,School,1,12,2022,2022-12-01,FL
213,"Twiss, Jill",A Day in the Life of Marlon Bundo,School,1,10,2022,2022-10-01,FL
214,"Twiss, Jill",A Day in the Life of Marlon Bundo,School,1,4,2022,2022-04-01,FL
215,"Peck, Robert Newton",A Day No Pigs Would Die,School,1,1,2023,2023-01-01,FL
216,"Bunting, Eve",A Day's Work,School,1,1,2022,2022-01-01,FL
217,"Engle, Margarita",A Dog Named Haku: A Holiday Story from Nepal,School,1,1,2022,2022-01-01,FL
218,"O'Leary, Sara",A Family is a Family is a Family,School,1,7,2022,2022-07-01,FL
219,"O'Leary, Sara",A Family is a Family is a Family,School,1,1,2023,2023-01-01,FL
220,"O'Leary, Sara",A Family is a Family is a Family,School,1,1,2022,2022-01-01,FL
221,"Saft, Allison",A Far Wilder Magic,Public,1,10,2022,2022-10-01,MI
222,"Martin, George R.R.",A Feast for Crows,School,1,2,2023,2023-02-01,PA
223,"Abraham, Daniel",A Game of Thrones (The Graphic Novel Volume 1),School,1,9,2022,2022-09-01,MO
224,"Abraham, Daniel",A Game of Thrones (The Graphic Novel Volume 2),School,1,9,2022,2022-09-01,MO
225,"Abraham, Daniel",A Game of Thrones (The Graphic Novel Volume 3),School,1,9,2022,2022-09-01,MO
226,"Abraham, Daniel",A Game of Thrones (The Graphic Novel Volume 4),School,1,9,2022,2022-09-01,MO
227,"González, Borja",A Gift for a Ghost,School,1,9,2022,2022-09-01,MO
228,"Asano, Inio",A Girl on the Shore,School,1,9,2022,2022-09-01,OH
229,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,7,2022,2022-07-01,FL
230,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,1,2023,2023-01-01,FL
232,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,9,2021,2021-09-01,PA
233,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,3,2022,2022-03-01,TX
234,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,3,2022,2022-03-01,TX
235,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,10,2021,2021-10-01,VA
236,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,2,2022,2022-02-01,TX
237,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,2,2021,2021-02-01,UT
238,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,2,2021,2021-02-01,UT
239,"Ramée, Lisa Moore",A Good Kind of Trouble,School,1,5,2022,2022-05-01,NC
240,"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,School,1,2,2021,2021-02-01,UT
241,"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,School,1,12,2021,2021-12-01,TX
242,"Bildner, Phil",A High Five for Glenn Burke,School,1,7,2022,2022-07-01,FL
243,"Bildner, Phil",A High Five for Glenn Burke,School,1,2,2022,2022-02-01,TX
244,"Perdew, Laura",A History of Art,School,1,9,2022,2022-09-01,MO
245,"Connor, Leslie",A Home for Goddesses and Dogs,School,1,2,2022,2022-02-01,TX
246,"Connor, Leslie",A Home for Goddesses and Dogs,School,1,12,2021,2021-12-01,TX
247,"Nagara, Innosanto",A is for Activist,School,1,9,2021,2021-09-01,PA
249,"Allman, John Robert",A is for Audra: Broadway's Leading Ladies from A to Z,School,1,9,2021,2021-09-01,PA
250,"Memory, Jelani",A Kids Book About Racism,School,1,9,2021,2021-09-01,PA
252,"Armentrout, Jennifer L.",A Kingdom of Flesh and Fire,School,1,10,2022,2022-10-01,FL
253,"Taylor, Will",A Language of Seabirds,Public,1,4,2023,2023-04-01,AL
254,"Gaines, Ernest",A Lesson Before Dying,School,1,10,2021,2021-10-01,VA
255,"Lee, Victoria",A Lesson in Vengeance,School,1,10,2022,2022-10-01,SC
256,"Lee, Victoria",A Lesson in Vengeance,School,1,12,2022,2022-12-01,SC
258,"Lee, Victoria",A Lesson in Vengeance,School,1,2,2022,2022-02-01,TN
259,"Lo, Malinda",A Line in The Dark,School,1,2,2022,2022-02-01,TX
260,"Lo, Malinda",A Line in The Dark,School,1,12,2021,2021-12-01,TX
261,"Laird, Elizabeth",A Little Piece of Ground,School,1,1,2023,2023-01-01,FL
262,"Laird, Elizabeth",A Little Piece of Ground,School,1,1,2022,2022-01-01,FL
263,"Park, Linda Sue",A Long Walk To Water,School,1,2,2022,2022-02-01,TX
264,"Horner, Emily",A Love Story Starring My Dead Best Friend,School,1,3,2022,2022-03-01,TX
265,"Horner, Emily",A Love Story Starring My Dead Best Friend,School,1,3,2022,2022-03-01,TX
266,"Horner, Emily",A Love Story Starring My Dead Best Friend,School,1,1,2022,2022-01-01,TX
267,"Horner, Emily",A Love Story Starring My Dead Best Friend,School,1,12,2021,2021-12-01,TX
268,"Leong, Sloane",A Map to the Sun,School,1,9,2022,2022-09-01,MO
269,"Duran, Rye",A Perfect Blank,School,1,2,2022,2022-02-01,TN
270,"Caldwell, Patrice","A Phoenix Must Burn: Sixteen Stories of Black Girl Magic, Resistance, and Hope",School,1,1,2022,2022-01-01,FL
272,"Elliott, Zetta",A Place Inside of Me: A Poem to Heal The Heart,School,1,10,2022,2022-10-01,TN
273,"Elliott, Zetta",A Place Inside of Me: A Poem to Heal The Heart,School,1,5,2022,2022-05-01,VA
274,"Bronski, Michael",A Queer History of the United States for Young People,School,1,2,2021,2021-02-01,UT
275,"G., Mady and Zuckerberg, Jules",A Quick & Easy Guide to Queer & Trans Identities,School,1,7,2022,2022-07-01,FL
276,"G., Mady and Zuckerberg, Jules",A Quick & Easy Guide to Queer & Trans Identities,School,1,7,2022,2022-07-01,VA
278,"G., Mady and Zuckerberg, Jules",A Quick & Easy Guide to Queer & Trans Identities,School,1,3,2022,2022-03-01,VT
279,"G., Mady and Zuckerberg, Jules",A Quick & Easy Guide to Queer & Trans Identities,School,1,7,2022,2022-07-01,VA
280,"G., Mady and Zuckerberg, Jules",A Quick & Easy Guide to Queer & Trans Identities,School,1,11,2021,2021-11-01,FL
281,"G., Mady and Zuckerberg, Jules",A Quick & Easy Guide to Queer & Trans Identities,School,1,2,2022,2022-02-01,TN
282,"Bongiovanni, Archie and Jimerson, Tristan",A Quick & Easy Guide to They/Them Pronouns,School,1,2,2022,2022-02-01,TN
283,"Hansberry, Lorraine",A Raisin in the Sun,School,1,10,2021,2021-10-01,OK
284,"Reichardt, Marisa",A Shot at Normal,School,1,5,2022,2022-05-01,PA
285,"Jonsberg, Barry",A Song Only I Can Hear,School,1,7,2022,2022-07-01,VA
286,"Jonsberg, Barry",A Song Only I Can Hear,School,1,7,2022,2022-07-01,VA
287,"Bryant, Jen",A Splash of Red: The Life and Art of Horace Pippin,School,1,7,2022,2022-07-01,VA
288,"Bryant, Jen",A Splash of Red: The Life and Art of Horace Pippin,School,1,9,2021,2021-09-01,PA
289,"Bryant, Jen",A Splash of Red: The Life and Art of Horace Pippin,School,1,7,2022,2022-07-01,VA
290,"Uhlberg, Myron",A Storm Called Katrina,School,1,1,2022,2022-01-01,FL
292,"Phelan, Matt",A Storm in the Barn,School,1,4,2022,2022-04-01,TX
293,"Martin, George R.R.",A Storm of Swords,School,1,2,2023,2023-02-01,PA
294,"Desjardins, India",A Story about Cancer with a Happy Ending,School,1,9,2022,2022-09-01,MO
295,"Johnson, Angela",A Sweet Smell of Roses,School,1,1,2022,2022-01-01,FL
297,"Oelschlager, Vanita",A Tale of Two Daddies,Public,1,12,2022,2022-12-01,NE
298,"Smiley, Jane",A Thousand Acres,School,1,2,2023,2023-02-01,ID
299,"Hosseini, Khaled",A Thousand Splendid Suns,School,1,2,2023,2023-02-01,PA
301,"Self, Jeffery","A Very, Very Bad Thing",School,1,2,2022,2022-02-01,TX
302,"Self, Jeffery","A Very, Very Bad Thing",School,1,12,2021,2021-12-01,TX
303,"Zinn, Howard",A Young People's History of the United States,School,1,2,2021,2021-02-01,UT
304,"Rose, Melody",Abortion: A Documentary and Reference Guide,School,1,12,2021,2021-12-01,TX
305,"Hand, Carol",Abortion: Interpreting the Constitution,School,1,2,2022,2022-02-01,TX
306,"Juettner, Bonnie",Abortion: Opposing Viewpoints (Series),School,1,12,2021,2021-12-01,TX
307,Tamara L. Roleff,Abortion: Opposing Viewpoints,School,1,2,2022,2022-02-01,TX
309,"Torr, James D.",Abortion: Opposing Viewpoints,School,1,2,2022,2022-02-01,TX
310,"Gay, Kathlyn",Abortion: Understanding the Debate,School,1,2,2022,2022-02-01,TX
311,"Lecesne, James",Absolute Brightness,School,1,2,2022,2022-02-01,TX
312,"Lecesne, James",Absolute Brightness,School,1,12,2021,2021-12-01,TX
313,"Dorros, Arthur",Abuela,School,1,1,2022,2022-01-01,FL
314,"Nietfeld, Emi",Acceptance,School,1,11,2022,2022-11-01,UT
315,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,9,2022,2022-09-01,FL
316,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,7,2022,2022-07-01,FL
317,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,1,2023,2023-01-01,FL
318,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,11,2022,2022-11-01,NC
319,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,7,2022,2022-07-01,VA
320,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,1,2022,2022-01-01,FL
321,"Àbíké-Íyímídé, Faridah",Ace of Spades,School,1,7,2022,2022-07-01,VA
