,author,title,library_type,day,month,year,challenge_date,state
4404,"Picoult, Jodi",Plain Truth,School,1,2,2023,2023-02-01,FL
4405,"Mian, Zinab",Planet Omar,School,1,9,2021,2021-09-01,PA
4406,"Wilke, Daria",Playing a Part,School,1,1,2022,2022-01-01,TX
4407,"Bildner, Phil",Playing The Field,School,1,12,2021,2021-12-01,TX
4408,"King, A. S.",Please Ignore Vera Dietz,School,1,2,2023,2023-02-01,PA
4409,"Snyder, Maria V.",Poison Study,School,1,7,2022,2022-07-01,FL
4411,"Stevenson, Robin",Pride: Celebrating Diversity & Community,School,1,12,2021,2021-12-01,TX
4412,"Stevenson, Robin",Pride: Celebrating Diversity & Community,School,1,1,2022,2022-01-01,TX
4413,"Stevenson, Robin",Pride: Celebrating Diversity & Community,School,1,2,2022,2022-02-01,TN
4414,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,7,2022,2022-07-01,FL
4415,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Public,1,8,2022,2022-08-01,IA
4416,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,3,2023,2023-03-01,UT
4417,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,3,2023,2023-03-01,OH
4419,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,9,2021,2021-09-01,PA
4420,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,9,2021,2021-09-01,PA
4421,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,1,2022,2022-01-01,FL
4422,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,2,2022,2022-02-01,TX
4423,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,12,2021,2021-12-01,TX
4424,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,School,1,3,2022,2022-03-01,WI
4425,"Haack, Daniel",Prince & Knight,Public,1,12,2021,2021-12-01,ID
4426,"Haack, Daniel",Prince & Knight,School,1,4,2022,2022-04-01,LA
4427,"Haack, Daniel",Prince & Knight,School,1,9,2021,2021-09-01,PA
4428,"Haack, Daniel",Prince & Knight,School,1,1,2022,2022-01-01,FL
4429,"Tonatiuh, Duncan",Princess and the Warrior,School,1,1,2022,2022-01-01,FL
4430,"O'Neill, Kay",Princess Princess Every After,School,1,2,2021,2021-02-01,TX
4431,Noël Merino,Privacy,School,1,2,2022,2022-02-01,TX
4432,"Yang, Kelly",Private Label,School,1,11,2022,2022-11-01,UT
4433,"Stevenson, Howard C.",Promoting Racial Literacy in Schools: Differences That Make a Difference,School,1,9,2021,2021-09-01,PA
4434,"Helms, Rhonda",Promposal,School,1,12,2021,2021-12-01,TX
4435,"Patterson, Richard North",Protect and Defend,School,1,12,2021,2021-12-01,TX
4436,"Braun, Eric",Protest Movements: Then and Now,School,1,3,2022,2022-03-01,WI
4437,"Harris, Duchess",Protesting Police Violence in Modern America,School,1,8,2022,2022-08-01,FL
4438,"Muhammad, Ibtihaj",Proud (Young Reader's Edition): Living my American Dream,School,1,1,2022,2022-01-01,FL
4439,"London, Alex",Proxy,School,1,7,2022,2022-07-01,FL
4440,"London, Alex",Proxy,School,1,1,2022,2022-01-01,TX
4441,"London, Alex",Proxy,School,1,1,2022,2022-01-01,TX
4442,"London, Alex",Proxy,School,1,2,2022,2022-02-01,TX
4443,"London, Alex",Proxy,School,1,2,2022,2022-02-01,TX
4444,"London, Alex",Proxy,School,1,12,2021,2021-12-01,TX
4445,"London, Alex",Proxy,School,1,12,2021,2021-12-01,TX
4446,"Loveless, Gina","Puberty is Gross, But Also Really Awesome",School,1,9,2022,2022-09-01,MO
4448,"Talley, Robin",Pulp,School,1,2,2022,2022-02-01,TX
4449,"Talley, Robin",Pulp,School,1,2,2022,2022-02-01,TN
4450,"Rowell, Rainbow",Pumpkinheads,School,1,7,2022,2022-07-01,FL
4451,Sapphire,Push,School,1,10,2022,2022-10-01,SC
4453,Sapphire,Push,School,1,9,2022,2022-09-01,MI
4454,Sapphire,Push,School,1,9,2022,2022-09-01,MI
4455,Sapphire,Push,School,1,9,2022,2022-09-01,FL
4458,Sapphire,Push,School,1,11,2022,2022-11-01,MD
4459,Sapphire,Push,School,1,7,2022,2022-07-01,FL
4460,Sapphire,Push,School,1,11,2022,2022-11-01,UT
4461,Sapphire,Push,School,1,1,2023,2023-01-01,FL
4462,Sapphire,Push,School,1,12,2022,2022-12-01,MI
4463,Sapphire,Push,School,1,12,2022,2022-12-01,FL
4464,Sapphire,Push,School,1,1,2023,2023-01-01,MI
4465,Sapphire,Push,Public,1,10,2022,2022-10-01,SD
4467,Sapphire,Push,School,1,1,2023,2023-01-01,PA
4468,Sapphire,Push,School,1,4,2022,2022-04-01,ME
4470,Sapphire,Push,School,1,4,2023,2023-04-01,NC
4471,Sapphire,Push,School,1,11,2021,2021-11-01,FL
4472,Sapphire,Push,School,1,4,2022,2022-04-01,PA
4473,Sapphire,Push,School,1,8,2022,2022-08-01,MI
4474,Sapphire,Push,School,1,5,2022,2022-05-01,TX
4475,Sapphire,Push,School,1,4,2022,2022-04-01,FL
4476,Sapphire,Push,School,1,4,2022,2022-04-01,FL
4477,"McGarry, Katie",Pushing the Limits,School,1,7,2022,2022-07-01,FL
4478,"Bruchac, Joseph",Pushing Up the Sky: Native American Plays for Children,School,1,1,2022,2022-01-01,TN
4479,"Morris, Monique W.",Pushout: The Criminalization of Black Girls in Schools,School,1,9,2021,2021-09-01,PA
4480,"Wright, Bil",Putting Makeup on the Fat Boy,School,1,2,2022,2022-02-01,TX
4481,"Wright, Bil",Putting Makeup on the Fat Boy,School,1,12,2021,2021-12-01,TX
4482,"Kang, Lydia and Pedersen, Nate",Quakery: A Brief History of the Worst Ways to Cure Everything,School,1,11,2022,2022-11-01,MO
4483,"Maas, Sarah J.",Queen of Shadows,School,1,1,2023,2023-01-01,FL
