ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
1188,"Hopkins, Ellen",Burned,,,,Internal/Administrative Review,,Challenged - Removed While Under Review,,,,,School,October,2022,SC,Beaufort County School District,,Beaufort,,,,,,,,,,
1189,"Hopkins, Ellen",Burned,,,,Formal Challenge,Administration,Challenged - On Shelves,"Sexual activities, sexual nudity, drug/alcholol use, profantory, deogratory terms, suicidal ideation,, violence, child abuse",Still in Process,,,School,February,2023,PA,Central Bucks School District,,,,,,On shelves,4/17/2023,In efiles,,,,
1190,"Hopkins, Ellen",Burned,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,PA,Penncrest,,,,,,,,,,,,
1191,"Hopkins, Ellen",Burned,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained/Restricted,Yes,Retained - High School Only; Flagged 16+,School,October,2021,OK,Bristow Public Schools,,Creek,,,Unknown,,,,,,,
1192,"Hopkins, Ellen",Burned,,,,Formal Challenge,Group,Challenged - On Shelves,,Banned,,,School,January,2022,TX,Prosper ISD,,,,,Unknown,,,,,,,
1193,"Peters, Julie Anne","By the Time You Read This, I'll Be Dead",,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,Superintendent already examining book policies - particularly acquisition,Unknown,,,School,February,2022,RI,North Smithfield School District,,,,,Unknown,,,,,,,
1194,"Geron, Eric",Bye Bye Binary,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,AR,Crawford County Library System,,,,Crawford County Library System,,,,,,,,
1195,"Aciman, André",Call Me By Your Name,,,,Informal Challenge,Group,Challenged - Location Unknown,Area resident representing Muslim parental advocacy asked to remove 36 books. It seems some of these might not be in school - and some might have already been challenged.,N/A,,,School,March,2023,OH,Hilliard Board of Education,,,,,,,4/18/2023,https://news.wosu.org/news/2023-04-17/book-challenges-increase-in-ohio-across-us-as-groups-seek-to-ban-multiple-titles,https://www.dispatch.com/story/news/local/2023/02/14/hilliard-school-board-urged-not-to-give-in-to-fear-mongering-lawsuit/69901141007/,,,
1196,"Aciman, André",Call Me By Your Name,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,unconstitutional order to remove book,Unknown,,,School,November,2021,VA,Spotsylvania County Public Schools,,Spotsylvania,,,Unknown,,,,,,,
1197,"Lukoff, Kyle",Call Me Max,,,,Informal Challenge,Group,Challenged - Location Unknown,Area resident representing Muslim parental advocacy asked to remove 36 books. It seems some of these might not be in school - and some might have already been challenged.,N/A,,,School,March,2023,OH,Hilliard Board of Education,,,,,,,4/18/2023,https://news.wosu.org/news/2023-04-17/book-challenges-increase-in-ohio-across-us-as-groups-seek-to-ban-multiple-titles,https://www.dispatch.com/story/news/local/2023/02/14/hilliard-school-board-urged-not-to-give-in-to-fear-mongering-lawsuit/69901141007/,,,
1198,"Lukoff, Kyle",Call Me Max,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Retained/Restricted,Yes,"AT Elementary School - moved to 'RESOURCE LIBRARY"" WHICH IS A COLLECTION ACCESSIBLE BY TEACHERS AND PARENTS TO REACH WITH CHILDREN",School,July,2021,IN,Carmel Clay Schools,,,,,Unknown,,,,,,,
1199,"Lukoff, Kyle",Call Me Max,,,,Administrative Review,Administration,Challenged - Removed While Under Review,"banned - ES K-3 - RESTRICTED - returned to shelves in 4 plus

 pulled from ALL elementary classrooms and media centers
 pulled from ALL elementary classrooms and media centers",Retained Restricted,Yes,RESTRICTED PERMANTLY TO GRADE 4 AND ABOVE.,School,April,2022,FL,Palm Beach County School District,,,,,Unknown,,,,,,,
1200,"Lukoff, Kyle",Call Me Max,,,,Administrative Review,Administration,Challenged - Location Unknown,2022-23 school year,Retained Restricted,Yes,recommended for professional collection - Prevention office,School,Fall,2021,FL,Pinellas School District,,Pinellas,,,Unknown,,,,,,,
1201,"Ford, J.R. and Ford, Vanessa",Calvin,,"Ford, Vanessa","Harren, Kayla",,,,,Retained Restricted,Yes,Place for Grade 4+ Only,School,July,2022,FL,The School District of Palm Beach County,,,,,,,,,,,,
1202,"Ford, J.R. and Ford, Vanessa",Calvin,,"Ford, Vanessa","Harren, Kayla",Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA.",Unknown,,,Public,April,2023,AL,Prattville Library,Prattville,,,Prattville Library,,On Shelves,4/24/2023,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,
1203,"Rosen, L. C.",Camp,,,,Formal Challenge,,,Retained 12/2022,Retained,,,Public,October,2022,MI,Salem-South Lyon District Library,,,,Salem-South Lyon District Library,,,,,,,,
1204,"Lenoir, Axelle",Camp Spirit,,,,Formal Challenge,,,Retained 12/2022,Retained,,,Public,October,2022,MI,Salem-South Lyon District Library,,,,Salem-South Lyon District Library,,,,,,,,
1205,"Latham, Irene and Waters, Charles","Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",,"Waters, Charles","Qualls, Sean; Alko, Selina",,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
1206,"Latham, Irene and Waters, Charles","Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1207,"Tatum, Beverly Daniel",Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1208,"Salvatore, Steven",Can't Take That Away,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1209,"Garber, Stephanie",Caravel,,,,Administrative Review,Administration,Challenged - Location Unknown,,Retained Restricted,Yes,Restricted to Junior HIgh And Up,School,April,2022,TX,Katy ISD,,,,,Unknown,,,,,,,
1210,"Gonzalez, Chuck",Carlos Gomez Freestyles... Heavy on The Style,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,never off shelves,Retained,,,School,Unclear,,VA,Prince William County public Schools,,,,,Unknown,,,,,,,
1211,"De La Peña, Matt",Carmela Full of Wishes,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1212,"Rowell, Rainbow",Carry On,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1213,"Hopkinson, Deborah",Carter Reads the Newspaper,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
1214,"Daemicke, Songju Ma",Case of Sense,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
1215,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1216,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,,,,,,,Missing after Dec Library shut down,Unknown,,,Public,,,TX,,,LLano County LKibrary,,,,,,,,,,
1217,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
1218,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School,December,2021,TX,North East,,,,,Unknown,,,,,,,
1219,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,,,,Response to Law,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School,December,2021,TX,North East,,,,,Unknown,,,,,,,
1220,"Heller, Joseph",Catch 22,,,,,,,,Banned,,,School,November,2022,UT,Washington County School District,,Washington,,,,,,,,,,
1221,"Collins, Suzanne",Catching Fire,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,PA,Penncrest,,,,,,,,,,,,
1222,"Kenneally, Miranda",Catching Jordan,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1223,"Hubbard, Crystal",Catching the Moon: The Story of a Young Girl's Baseball Dream,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1224,"Stohl, Margaret and Peterson, Lewis",Cats vs. Robots: This is War,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,BANNED Elementary can remain MS and HS,School,June,2022,MO,Independence School District,,,,,Unknown,,,,,,,
1225,"Van Otterloo, Ash",Cattywampus,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1226,"Maas, Sarah J.",Catwoman: Soulstealer,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1227,"Maas, Sarah J.",Catwoman: Soulstealer,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1228,"Harrison, Vashti",Cece Loves Science,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1229,"Leff, Carrie and Klein, Lisa",Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,April,2022,FL,Walton County School District,,Walton,,,Unknown,,,,,,,
1230,"Cavell-Clarke, Steffi",Celebrating Different Beliefs,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
1231,"Chambers, Veronica","Celia Cruz, Queen of Salsa",,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
1232,"Thomas, Aiden",Cemetery Boys,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1233,"Thomas, Aiden",Cemetery Boys,,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
1234,"Thomas, Aiden",Cemetery Boys,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,NC,Pender County Schools,,Pender,,,,,,https://portcitydaily.com/local-news/2023/02/15/41-books-will-come-off-pender-county-schools-shelves-while-they-undergo-review/,,,,
1235,"Thomas, Aiden",Cemetery Boys,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed f",Unknown,,,School,November,2022,NC,Cumberland County Schools,,Cumberland,,,,Unknown,4/22/2023,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,
1236,"Thomas, Aiden",Cemetery Boys,,,,Administrative Review,Group,Challenged - Location Unknown,FLCA,Retained Restricted,Yes,Parental Advisory label added in Feb 2022,School,1,2022,FL,Collier County Public Schools,,Collier,,,Unknown,,,,,,,
1237,"Thomas, Aiden",Cemetery Boys,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,in challenge process?,Unknown,,,School,Unclear,,GA,Forsyth County Schools,,,,,Unknown,,,,,,,
1238,"Thomas, Aiden",Cemetery Boys,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School,January,2022,TX,Granbury Independent School District,,,,,Unknown,,,,,,,
1239,"Thomas, Aiden",Cemetery Boys,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,RETURNED - FL as 5/2022,,,,,,
1240,"Thomas, Aiden",Cemetery Boys,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
1241,"Thomas, Aiden",Cemetery Boys,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School,December,2021,TX,North East,,,,,Unknown,,,,,,,
1242,"Thomas, Aiden",Cemetery Boys,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1243,"Zeri, Federico",Cezanne: Mont Sainte Victoire,,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
1244,"Zeri, Federico",Chagall: The Falling Angel,,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
1245,"Sim, Tara",Chainbreaker,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School,December,2021,TX,North East,,,,,Unknown,,,,,,,
1246,"Lu, Marie",Champion,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1247,"Picoult, Jodi",Change of Heart,,,,,,Challenged - Location Unknown,,Banned,,,School,February,2023,FL,Martin County Schools,,Martin,,,,,,https://www.wptv.com/news/education/dozens-of-books-removed-from-martin-county-schools,,,,
1248,"Bolden, Tonya",Changing the Equation: 50+ US Black Women in STEM,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1249,"Saltz, Gail",Changing You: A Guide to Body Changes and Sexuality,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,AR,Craighead County Jonesboro Public Library,,,,Craighead County Jonesboro Public Library,,,,,,,,
1250,Born This Way Foundation Reporters,Channel Kindness: Stories of Kindness and Community,,,,Administrative Review,Administration,Challenged - Removed While Under Review,ONE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1251,"Snyder, Laurel",Charlie and Mouse,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1252,"Mac, Carrie",Charmed,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1253,"Mac, Carrie",Charmed,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,RETURNED - FL as 5/2022,,,,,,
1254,"Melvin, Leland",Chasing Space (Young Reader's Edition),,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1255,Chaucer's Canterbury Tales,Chaucer's Canterbury Tales,,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
1256,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey",,,,,,Challenged - Removed While Under Review,From district website - update late Jan,Unknown,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
1257,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey",,,,,Elected Representative,Challenged - Location Unknown,Related to Jared Patterson part of his 28 challenges,Banned,,,School,November,2022,TX,Frisco ISD,,,,,,,,Frisco ISD Board votes to remove books from libraries for the first time following state lawmakers requests,,,,
1258,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey",,,,,,,,,,,Public,September,2021,MI,Caledonia Library,,Byron Township,,Caledonia Library,,,,,,,,
1259,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey","Check, Please! Series",,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1260,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey",,,,Formal Challenge,Parent,Challenged - Removed While Under Review,,Unknown,,,School,Unclear,,GA,Forsyth County Schools,,,,,Unknown,,,,,,,
1261,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey",,,,Formal Challenge,Group,Challenged - On Shelves,,Banned,,,School,January,2022,TX,Prosper ISD,,,,,Unknown,,,,,,,
1262,"Ukazu, Ngozi","Check, Please! Book 1: #Hockey",,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,April,2022,MI,Rochester Community Schools,,,,,Unknown,,,,,,,
1263,"Ukazu, Ngozi","Check, Please! Book 2: Sticks and Stones",,,,Formal Challenge,Group,Challenged - On Shelves,Complaint Filed - status unclear,Unknown,,,School,January,2022,TX,Prosper ISD,,,,,Unknown,,,,,,,
1264,"Ukazu, Ngozi","Check, Please! Book 2: Sticks and Stones",,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1265,"Frasier, Crystal",Cheer Up: Love and Pompoms,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1266,"Rosin, Lindsey",Cherry,,,,,,Challenged - Removed While Under Review,,,,,School,August,2022,TX,Belton ISD,,,,,,,,,,,,
1267,"Rosin, Lindsey",Cherry,,,,Formal Challenge,Group,Challenged - On Shelves,,Banned,,,School,January,2022,TX,Prosper ISD,,,,,Unknown,,,,,,,
1268,"Smith, Heather",Chicken Girl,,,,,,,,Banned,,,School,November,2022,TX,Frisco ISD,,,,,,,,,,,,
1269,"Smith, Heather",Chicken Girl,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,,Removed from Middle School Only,School,January,2022,TX,Prosper ISD,,,,,Unknown,,,,,,,
1270,"Smith, Heather",Chicken Girl,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1271,"Rockliff, Mara",Chik Chak Shabbat,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
1272,"De Coster, Katie and Swisher, Karen",Child Abuse: Opposing Viewpoints,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Elementary School,Still in Process,,,School,3,2022,TX,Eanes,,,,,Unknown,,,,,,,
1273,"De Coster, Katie and Swisher, Karen",Child Abuse: Opposing Viewpoints,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Middle School,Still in Process,,,School,March,2022,TX,Eanes,,,,,Unknown,,,,,,,
1274,"Adeyemi, Tomi",Children of Blood and Bone,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2021,TX,Katy ISD,,,,,Unknown,,,,,,,
1275,"Dismondy, Maria",Chocolate Milk Por Favor: Celebrating Diversity With Empathy,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1276,"Palahniuk, Chuck",Choke,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Community members read aloud passages from 8 books during the board meeting and asked the books be removed. The board voted to bypass policy and remove the books while under review because they felt the books were ""dangerous.""",Still in Process,,,School,April,2022,ME,Maine School Administrative District #6,,,,,,,4/16/2023,,,,,
1277,"Cast, P.C. and Cast, Kristin",Chosen,,,,,,Challenged - Removed While Under Review,,,,,School,December,2022,FL,Escambia County Public Schools,,Escambia,,,,,,,,,,
1278,"Cast, P.C. and Cast, Kristin",Chosen,,"Cast, Kristin",,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
1279,"Cast, P.C. and Cast, Kristin",Chosen,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1280,"Cast, P.C. and Cast, Kristin",Chosen,,,,,,Challenged - On Shelves,,,,,School,Fall,2022,VA,Spotsylvania County Public Schools,,Spotsylvania,,,,,,,,,,
1281,"Tan, Susan",Cilla Lee-Jenkins,Cilla Lee-Jenkins,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
1282,"Bayron, Kalynn",Cinderella is Dead,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1283,"Bayron, Kalynn",Cinderella is Dead,,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
1284,"Bayron, Kalynn",Cinderella is Dead,,,,Administrative Review,Group,Challenged - Location Unknown,FLCA,Retained Restricted,Yes,Parental Advisory label added in Feb 2022,School,1,2022,FL,Collier County Public Schools,,Collier,,,Unknown,,,,,,,
1285,"Bayron, Kalynn",Cinderella is Dead,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School,January,2022,TX,Granbury Independent School District,,,,,Unknown,,,,,,,
1286,"Bayron, Kalynn",Cinderella is Dead,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school.

 School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School,November,2021,UT,Murray City School District,,,,,Unknown,,,,,,,
1287,"Bayron, Kalynn",Cinderella is Dead,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School,December,2021,TX,North East,,,,,Unknown,,,,,,,
1288,"Bayron, Kalynn",Cinderella is Dead,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
1289,"Ceilley, Mark and Smoka-Richardson, Rachel",Cinderelliot: A Scrumptious Fairytale,,,,,,,These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.,Reshelved,,,Public,December,2022,AR,Crawford County Library System,,,,Crawford County Library System,,,,,,,,
1290,"Rankine, Claudia",Citizen: An American Lyric,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
1291,"Rankine, Claudia",Citizen: An American Lyric,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School,December,2021,TX,North East,,,,,Unknown,,,,,,,
1292,Saburouta,Citrus Plus Volume 1,,,,,,,,Banned,,,School,October,2022,MO,Independence School District,,,,,,,,,,,,
1293,Saburouta,Citrus Plus Volume 2,,,,,,,,Banned,,,School,October,2022,MO,Independence School District,,,,,,,,,,,,
1294,"Maas, Sarah J.",City of Heavenly Fire,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
1295,"Maas, Sarah J.",City of Heavenly Fire,,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
1296,"Maas, Sarah J.",City of Heavenly Fire,,,,Internal/Administrative Review,,Challenged - Removed While Under Review,,,,,School,October,2022,SC,Beaufort County School District,,Beaufort,,,,,,,,,,
1297,"Maas, Sarah J.",City of Heavenly Fire,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,rermoved while under review,Retained Restricted,Yes,Maybe formal challenge filed?,School,March,2022,TX,Fredericksburg ISD,,,,,Unknown,,,,,,,
1298,"Maas, Sarah J.",City of Heavenly Fire,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,May,2022,MI,Gladwin Community Schools,,,,,Unknown,,,,,,,
1299,"Maas, Sarah J.",City of Heavenly Fire,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Retained Restricted,Yes,High School Only,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,,,,,,,
1300,"Maas, Sarah J.",City of Heavenly Fire,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school.

 School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School,November,2021,UT,Murray City School District,,,,,Unknown,,,,,,,
1301,"Maas, Sarah J.",City of Heavenly Fire,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"committee recommended further review, not immediate censorship",Banned,,,School,May,2022,ID,Nampa School District,,,,,Unknown,,,,,,,
1302,"Maas, Sarah J.",City of Heavenly Fire,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School,Spring,2022,NC,Union Academy,,,,,Unknown,,,,,,,
1303,"Clare, Cassandra",City of Lost Souls (Mortal Instruments Series),Mortal Instruments,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School,Spring,2022,NC,Union Academy,,,,,Unknown,,,,,,,
1304,"Benioff, David",City of Thieves,,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,FL,Escambia County Public Schools,,Escambia,,,,,,,,,,
1305,"Benioff, David",City of Thieves,,,,Targeted During Board Meeting,Group,Unknown,,,,,School,July,2022,VA,Fauquier County Public Schools,,Fauquier,,,,,,,,,,
1306,"Benioff, David",City of Thieves,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School,July,2022,VA,Fauquier County Public Schools,,Fauquier,,,Unknown,,,,,,,
1307,"Benioff, David",City of Thieves,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"""pornographic mental imagery""

 Reconsideration committee reviewed and it will be retained in library collection",Retained,,,School,September,2021,TX,Northside,,,,,Unknown,,,,,,,
1308,"Lusted, Marcia Amidon",Civic Unrest: Investigate the Struggle for Social Change,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school.

 School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School,November,2021,UT,Murray City School District,,,,,Unknown,,,,,,,
1309,"Acevedo, Elizabeth",Clap When You Land,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
