ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
7542,"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,,,"Valero-O'Connell, Rosemary",Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,St. John’s,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7543,"Carle, Eric",Draw Me a Star,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,St. John’s,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7544,"Curato, Mike",Flamer,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7545,"Dawson, Juno",This Book Is Gay,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7546,"Green, John",Looking for Alaska,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7547,"Hopkins, Ellen",Crank,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7548,"Kaur, Rupi",Milk and Honey,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7549,"Lyga, Barry",Boy Toy,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7550,"Wells, Maggie",Nine Months Luciana,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7551,"Shannon, David","No, David!",David Books,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7552,"Shannon, David","No, David!",David Books,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7553,"Munsch, Robert",The Paper Bag Princess,,,"Martchenko, Michael",Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
